issue,title,primary finding,validator comment,status,root cause (URL),size
validation-269,"Fix Incorrect Smart Contract Detection in registerDSS Function result in ""DOS""",,"It's checking dss, NOT the caller.",Unsatisfactory,,21
validation-247,`NativeNode` does not have a receive function,,Yield from Beacon is sent via self destruct,Unsatisfactory,,23
validation-214,Operators can steal slashed funds,validation-267,Missing crucial validation on manipulable extraData,Satisfactory,https://github.com/code-423n4/2024-07-karak/blob/f5e52fdcb4c20c4318d532a9f08f7876e9afb321/src/NativeVault.sol#L308,23
validation-201,Unsafe casting in `NativeVaultLib`,,Low QA as it will just revert,Unsatisfactory,,23
validation-188,initializer could be frontrun,,Analyzer: [L-16] Upgradeable contract not initialized,Unsatisfactory,,23
validation-94,slashAssets in NativeVault considers stakes queued in withdrawals,,It's just a commented misnomer. state.validateQueuedWithdrawal(withdrawalKey) has it taken care of,Unsatisfactory,,24
validation-285,Operators can stake vaults without being registered in the DSS,validation-277,Dodging registration with DSS through timing manipulation,Satisfactory,https://github.com/code-423n4/2024-07-karak/blob/f5e52fdcb4c20c4318d532a9f08f7876e9afb321/src/Core.sol#L146-L153,25
validation-182,initializer modifier will not work,,"Pauser is Initializable. Othewise, the contract won't compile",Unsatisfactory,,25
validation-196,"It is only possible to update the Vault implementation from Standard to a specific implementation, otherwise not",,It's set to true via allowlistVaultImpl() by default,Unsatisfactory,,26
validation-251,Unblockable vault implementations,,It's set to true via allowlistVaultImpl() by default,Unsatisfactory,,27
validation-184,newNodeImplementation in changeNodeImplementation can affect critical functions,,It's an admin function that's trusted,Unsatisfactory,,27
validation-318,using ownable instead of ownable upgradeable can malfunction onlyowner functions,,Informational and low impact,Unsatisfactory,,28
validation-358,Manager EOA may steal assets meant for slashing ,,Manager is trusted,Unsatisfactory,,29
validation-314,Users could lose funds during redeem procedure in Vault.sol,,This will interfere with the slashing mechanism. The protocol team should be aware of this limitation,Unsatisfactory,,29
validation-90,User may lose their shares during redeem in `Vault`,,This will interfere with the slashing mechanism. The protocol team should be aware of this limitation,Unsatisfactory,,29
validation-204,Mallisious actor can deploy vaults until operator's number of vaults for reaches the maximum.,,It's an internal function,Unsatisfactory,,30
validation-187,Incorrect conversion from uint256 to int256 In the NativeVaultLib.sol::validateSnapshotProof,,Low QA as it will just revert,Unsatisfactory,,31
validation-183,Initializable is not inherited by `NativeVault`,,"Pauser is Initializable. Othewise, the contract won't compile",Unsatisfactory,,31
findings-39,The `Core` contract doesn't implement `IDSS.cancelUpdateStakeHook()`.,validation-277,Partial credit should be given as it does not address the impact of dodging registration with DSS through timing manipulation,Satisfactory,https://github.com/code-423n4/2024-07-karak/blob/f5e52fdcb4c20c4318d532a9f08f7876e9afb321/src/Core.sol#L146-L153,31
validation-205,Validators can avoid getting slashed by exiting their position on the Beacon Chain,,Incorrect assumption on the slashing logic,Unsatisfactory,,32
validation-82,Lack of slippage control in `Vault.mint()`,,"function deposit(uint256 assets, address to, uint256 minSharesOut) may be used",Unsatisfactory,,32
validation-81,`Core.registerDSS` is not pausable,,Low QA and insufficient proof on the impact,Unsatisfactory,,32
validation-53,`_startSnapshot()` can revert with an underflow,,nodeBalanceWei will at worst be 0 if node.withdrawableCreditedNodeETH = node.nodeAddress.balance is executed in _transferToSlashStore(),Unsatisfactory,,32
validation-25,Predictable Salt in `createVault` Function,,Low QA on Create2,Unsatisfactory,,32
validation-273,DSS can stake in operator vaults they run and front-run their own slashing to extract value.,,DSS should be trusted,Unsatisfactory,,33
validation-109,"""Possibility of losing funds due to failure to check for address `0`""",,Low QA on address(0) check. It's an admin call after all,Unsatisfactory,,33
validation-85,`SlashingHandler.handleSlashing` fails with tokens that revert when transferred to the zero address,,M-4 from Renascence Labs (Core),Unsatisfactory,,33
validation-84,The `Vault` is incompatible with fee-on-transfer tokens,,Analyzer: [M-1] Contracts are vulnerable to fee-on-transfer accounting-related issues,Unsatisfactory,,33
validation-37,Unrestricted slashing cancellation allows arbitrary veto at any time by the veto committee,, SLASHING VETO COMMITTEE is trusted,Unsatisfactory,,33
validation-36,Incorrect operator address passed to `IDSS::finishUpdateStakeHook` allows unauthorized stake updates,,[H-03] from Code4rena Pro League (Core),Unsatisfactory,,33
validation-332,Potential Overflow in Bit Shift Amount Calculation,,"Unneeded cast since (validatorIndex % 4) is 0, 1, 2 or 3",Unsatisfactory,,34
validation-349,Vulnerability in Vault Redemption Process Allows Malicious Operators to Reduce Slashing Penalties,validation-349,Slash dodging through timing manipulation,Satisfactory,https://github.com/code-423n4/2024-07-karak/blob/main/src/entities/SlasherLib.sol#L129,35
validation-331,Incompatibility with ERC20 tokens which revert on transfer to address(0),,M-4 from Renascence Labs (Core),Unsatisfactory,,35
validation-301,User can avoid slashing by effectively withdrawing their ETH before,,Incorrect assumption on the intended slashing logic,Unsatisfactory,,35
validation-299,Improper Validation can lead to smart contract wallets/multisig to register as DSS,,"It's checking dss, NOT the caller.",Unsatisfactory,,35
validation-271,Potential Incompatibility with Certain ERC20 Token Implementations in `handleSlashing` Function,,M-4 from Renascence Labs (Core),Unsatisfactory,,35
validation-209,The `if (totalAssetsToSlash > self.totalAssets)` check of `NativeVault::slashAssets` function can empty asset pool if wrong amount is entered even by accident.,,Low QA on admin mistake ,Unsatisfactory,,35
validation-111,If address(0) is passed to validateVaultConfigs the code will not revert,,"(implementation != address(0) && !isVaultImplAllowlisted(self, implementation)) isn't meant catering to address(0) check",Unsatisfactory,,35
validation-242,`Vault` initialization is impossible if symbol is non-string,,Won't revert as it's being matched to struct Config,Unsatisfactory,,36
validation-208,"No checks present in,`startRedeem` function to ensure `beneficiary` actually has the amount of `shares` entered, can lead to silent failure of the function",,msg.sender will bear for it,Unsatisfactory,,36
validation-248,Vaults are vulnerable from the famous ERC4626 inflation attack,,_decimalsOffset() and _useVirtualShares() in solady 4626 will make the inflation attack infeasible,Unsatisfactory,,37
validation-217,Lack of Mechanism to Remove Unsupported Tokens from SlashingHandler,,Intended design as already confirmed by the sponsor in Discord,Unsatisfactory,,37
validation-141,[M-1] Lack of access control on `SlashingHandler::handleSlashing` function allows users to accidentally burn their tokens,,It's msg.sender linked. Caller be cautious,Unsatisfactory,,37
validation-46,A malicious Operator could avoid the slashing penalty when they behave maliciously towards a DSS,,Seemingly OOS. QA at best,Unsatisfactory,,37
findings-6,Lack of Implementation of Functions in Core Contract Limits Owner Control over NativeVault ,,QA as owner is the default admin,Unsatisfactory,,37
validation-336,slashing can prevent users from withdrawing ,,It's msg.sender restricted,Unsatisfactory,,38
validation-319,Permanent loss of user funds if `SLASHING_VETO_WINDOW` expires during pausing,,Commonly known issue. Intended design,Unsatisfactory,,38
validation-263,"There is no way to delete an allowed vault implementation, which can broke the protocol if an allowed vault is malicious.",,It's set to true via allowlistVaultImpl() by default,Unsatisfactory,,38
validation-9,`isSmartContract()` is not a reliable way to determine if a address is a EOA or contract,,QA and informational,Unsatisfactory,,38
validation-297,Asymmetric upgrade between `nodeImpl` and `slashStore` ,,QA and informational,Unsatisfactory,,39
validation-283,Staker loss of funds due to frontrun Attack in Vault `Deposit` Function Leading to Fund Loss,,_decimalsOffset() and _useVirtualShares() in solady 4626 will make the inflation attack infeasible,Unsatisfactory,,39
validation-213,User can deny transfer of Slashed Assets from his nativenode,,Insufficient proof. _updateSnapshot() is atomically handled always,Unsatisfactory,,39
findings-44,Failure to deploy a node due to an existing account at expected address,,Low QA on Create2,Unsatisfactory,,39
findings-34,The `handleSlashing()` function always reverts when handling `fee-on-transfer` tokens.,,Analyzer: [M-1] Contracts are vulnerable to fee-on-transfer accounting-related issues,Unsatisfactory,,39
validation-360,handleSlashing not considering fees on transfer when the amount is burned.,,Analyzer: [M-1] Contracts are vulnerable to fee-on-transfer accounting-related issues,Unsatisfactory,,40
validation-215,Lack of Slippage Protection in Mint Function,,"function deposit(uint256 assets, address to, uint256 minSharesOut) may be used",Unsatisfactory,,40
validation-202,`changeNodeImplementation` doesnt check if  `newNodeImplementation` is a contract,,"It's checked using assembly, size := extcodesize(newNodeImplementation)",Unsatisfactory,,40
validation-3,Address(0) Vulnerability,,Low QA on address(0) check.,Unsatisfactory,,40
validation-359,Incorrect Use of LibClone.predictDeterministicAddressERC1967BeaconProxy in Smart Contract,,Low QA on Create2,Unsatisfactory,,41
validation-355,DSS is  still allowed to slash after MIN_WITHDRAWAL_DELAY  is passed,, SLASHING VETO COMMITTEE is trusted,Unsatisfactory,,41
validation-326,Inflation Attack is possible on vault,,_decimalsOffset() and _useVirtualShares() in solady 4626 will make the inflation attack infeasible,Unsatisfactory,,41
validation-249,Attacker can DOS a new user in Native Restaking,validation-119,Inadequate measure to stem front-running DOS,Satisfactory,https://github.com/code-423n4/2024-07-karak/blob/f5e52fdcb4c20c4318d532a9f08f7876e9afb321/src/NativeVault.sol#L218-L220,41
validation-244,`withdrawalMap[withdrawalKey]` will not get resetted after executing the withdrawal in `NativeVault::finishWithdrawal()`,,Incorrect assumption on delete,Unsatisfactory,,41
validation-237,initializer could be frontrun,,Analyzer: [L-16] Upgradeable contract not initialized,Unsatisfactory,,41
